filename,name,author,year,genre
Jarell_90_North.txt,90 North,Randall Jarell,None,Fugitive
Frost_Acquainted_with_the_Night.txt,Acquainted with the Night,Robert Frost,1927,Proto
Masters_Anne_Rutledge.txt,Anne Rutledge,Edgar Lee Masters,1916,Modern
Masters_Archibald_Higbie.txt,Archibald Higbie,Edgar Lee Masters,1916,Modern
Plath_Ariel.txt,Ariel,Sylvia Plath,None,Confessional
Brautigan_At_the_California_Institute_of_Technology.txt,At the California Institute of Technology,Richard Brautigan,1967,Beat
Brautigan_A_Boat.txt,A Boat,Richard Brautigan,1969,Beat
Lowell_A_Fixed_Idea.txt,A Fixed Idea,Amy Lowell,None,Imagist
Lorde_A_Litany_for_Survival.txt,A Litany for Survival,Audre Lorde,1978,Black Arts Movement
Lowell_A_London_Thoroughfare._2_A.M..txt,A London Thoroughfare. 2 A.M.,Amy Lowell,1914,Imagist
Angelou_A_Plagued_Journey.txt,A Plagued Journey,Maya Angelou,1983,Black Arts Movement
Pound_A_Virginal.txt,A Virginal,Ezra Pound,1957,Modern
Lorde_A_Woman_Speaks.txt,A Woman Speaks,Audre Lorde,None,Black Arts Movement
Ransom_Bells_for_John_Whiteside’s_Daughter.txt,Bells for John Whiteside’s Daughter,John Crowe Ransom,None,Fugitive
Masters_Benjamin_Pantier.txt,Benjamin Pantier,Edgar Lee Masters,1915,Modern
Frost_Birches.txt,Birches,Robert Frost,1916,Proto
Plath_Blackberrying.txt,Blackberrying,Sylvia Plath,None,Confessional
Williams_Blizzard.txt,Blizzard,William Carlos Williams,None,Imagist
Angelou_Caged_Bird.txt,Caged Bird,Maya Angelou,1983,Black Arts Movement
Lowell_Carrefour.txt,Carrefour,Amy Lowell,1920,Imagist
Lorde_Coal.txt,Coal,Audre Lorde,1976,Black Arts Movement
Bunting_Coda.txt,Coda,Basil Bunting,None,Modern
Plath_Daddy.txt,Daddy,Sylvia Plath,None,Confessional
Rexroth_Doubled_Mirrors.txt,Doubled Mirrors,Kenneth Rexroth,1952,Beat
Lowell_Dreams_in_War_Time.txt,Dreams in War Time,Amy Lowell,None,Imagist
Berryman_Dream_Song_14.txt,Dream Song 14,John Berryman,1969,Confessional
Berryman_Dream_Song_29.txt,Dream Song 29,John Berryman,1969,Confessional
Frost_Dust_of_Snow.txt,Dust of Snow,Robert Frost,None,Proto
Plath_Edge.txt,Edge,Sylvia Plath,None,Confessional
Tate_Edges.txt,Edges,Allen Tate,None,Fugitive
"Ransom_Emily_Hardcastle,_Spinster.txt","Emily Hardcastle, Spinster",John Crowe Ransom,None,Fugitive
Lowell_Epilogue.txt,Epilogue,Robert Lowell,1977,Confessional
Untermeyer_Faith.txt,Faith,Louis Untermeyer,1917,Modern
Frost_Fireflies_in_the_Garden.txt,Fireflies in the Garden,Robert Frost,1928,Proto
Frost_Fire_and_Ice.txt,Fire and Ice,Robert Frost,1920,Proto
Robinson_Flammonde.txt,Flammonde,Edwin Arlington Robinson,1916,Proto
"Frost_For_Once,_Then,_Something.txt","For Once, Then, Something",Robert Frost,1923,Proto
Frost_Fragmentary_Blue.txt,Fragmentary Blue,Robert Frost,1923,Proto
Lorde_From_the_House_of_Yemanjá.txt,From the House of Yemanjá,Audre Lorde,None,Black Arts Movement
Frost_Gathering_Leaves.txt,Gathering Leaves,Robert Frost,1923,Proto
Frost_Good-by_and_Keep_Cold.txt,Good-by and Keep Cold,Robert Frost,1923,Proto
Lowell_Granadilla.txt,Granadilla,Amy Lowell,None,Imagist
Lorde_Hanging_Fire.txt,Hanging Fire,Audre Lorde,None,Black Arts Movement
Mckay_Harlem_Shadows.txt,Harlem Shadows,Claude Mckay,1922,Harlem Renaissance
Frost_Home_Burial.txt,Home Burial,Robert Frost,1914,Proto
Mckay_If_We_Must_Die.txt,If We Must Die,Claude Mckay,1919,Harlem Renaissance
Untermeyer_Infidelity.txt,Infidelity,Louis Untermeyer,1936,Modern
Lowell_Interlude.txt,Interlude,Amy Lowell,None,Imagist
Frost_In_a_Disused_Graveyard.txt,In a Disused Graveyard,Robert Frost,1923,Proto
Lowell_In_a_Garden.txt,In a Garden,Amy Lowell,1920,Imagist
Brautigan_I_Feel_Horrible._She_Doesn't.txt,I Feel Horrible. She Doesn't,Richard Brautigan,1968,Beat
Ransom_Janet_Waking.txt,Janet Waking,John Crowe Ransom,None,Fugitive
Lowell_July_in_Washington.txt,July in Washington,Robert Lowell,None,Confessional
Angelou_Kin.txt,Kin,Maya Angelou,1978,Black Arts Movement
Plath_Lady_Lazarus.txt,Lady Lazarus,Sylvia Plath,None,Confessional
Stevens_Le_Monocle_de_Mon_Oncle.txt,Le Monocle de Mon Oncle,Wallace Stevens,1918,Modern
Lowell_Lilacs.txt,Lilacs,Amy Lowell,None,Imagist
Frost_Love_and_a_Question.txt,Love and a Question,Robert Frost,1913,Proto
Robinson_Luke_Havergal.txt,Luke Havergal,Edwin Arlington Robinson,1897,Proto
Frost_Mending_Wall.txt,Mending Wall,Robert Frost,1914,Proto
Robinson_Miniver_Cheevy.txt,Miniver Cheevy,Edwin Arlington Robinson,1910,Proto
Ransom_Miriam_Tazewell.txt,Miriam Tazewell,John Crowe Ransom,None,Fugitive
Tate_More_Sonnets_At_Christmas_III.txt,More Sonnets At Christmas III,Allen Tate,None,Fugitive
Tate_More_Sonnets_At_Christmas_IV.txt,More Sonnets At Christmas IV,Allen Tate,None,Fugitive
Plath_Morning_Song.txt,Morning Song,Sylvia Plath,None,Confessional
Lorde_Movement_Song.txt,Movement Song,Audre Lorde,1973,Black Arts Movement
Frost_Mowing.txt,Mowing,Robert Frost,1913,Proto
Robinson_Mr._Flood's_Party.txt,Mr. Flood's Party,Edwin Arlington Robinson,1921,Proto
Plath_Nick_and_the_Candlestick.txt,Nick and the Candlestick,Sylvia Plath,None,Confessional
Dunbar_Night_of_Love.txt,Night of Love,Paul Laurence Dunbar,None,Harlem Renaissance
Frost_Nothing_Gold_Can_Stay.txt,Nothing Gold Can Stay,Robert Frost,1923,Proto
Frost_Not_to_Keep.txt,Not to Keep,Robert Frost,1917,Proto
Lowell_Nuit_Blanche.txt,Nuit Blanche,Amy Lowell,None,Imagist
Tolson_Old_Houses.txt,Old Houses,Melvin B. Tolson,None,Harlem Renaissance
Mckay_On_Broadway.txt,On Broadway,Claude Mckay,1920,Harlem Renaissance
Rexroth_On_What_Planet.txt,On What Planet,Kenneth Rexroth,1940,Beat
Lowell_Penumbra.txt,Penumbra,Amy Lowell,None,Imagist
Ransom_Piazza_Piece.txt,Piazza Piece,John Crowe Ransom,None,Fugitive
Ransom_Poets_Have_Chanted_Mortality.txt,Poets Have Chanted Mortality,John Crowe Ransom,None,Fugitive
Brautigan_Poker_Star.txt,Poker Star,Richard Brautigan,1968,Beat
Brautigan_Private_Eye_Lettuce.txt,Private Eye Lettuce,Richard Brautigan,1968,Beat
Johnson_Quest.txt,Quest,Georgia Douglas Johnson,1918,Harlem Renaissance
Lowell_Randall_Jarrell.txt,Randall Jarrell,Robert Lowell,1966,Confessional
Toomer_Reapers.txt,Reapers,Jean Toomer,1923,Harlem Renaissance
Lorde_Recreation.txt,Recreation,Audre Lorde,None,Black Arts Movement
Tate_Red_Stains.txt,Red Stains,Allen Tate,None,Fugitive
Robinson_Richard_Cory.txt,Richard Cory,Edwin Arlington Robinson,1897,Proto
Brooks_Sadie_and_Maud.txt,Sadie and Maud,Gwendolyn Brooks,1963,Black Arts Movement
"Lowell_September,_1918.txt","September, 1918",Amy Lowell,None,Imagist
Dunbar_Ships_that_Pass_in_the_Night.txt,Ships that Pass in the Night,Paul Laurence Dunbar,1913,Harlem Renaissance
Angelou_Still_I_Rise.txt,Still I Rise,Maya Angelou,None,Black Arts Movement
Tate_Stranger.txt,Stranger,Allen Tate,None,Fugitive
Mckay_Subway_Wind.txt,Subway Wind,Claude Mckay,None,Harlem Renaissance
Aiken_Summer.txt,Summer,Conrad Aiken,None,Modern
Dunbar_Sympathy.txt,Sympathy,Paul Laurence Dunbar,None,Harlem Renaissance
Frost_The_Aim_Was_Song.txt,The Aim Was Song,Robert Frost,None,Proto
Davidson_The_Amulet.txt,The Amulet,Donald (Grady) Davidson,None,Fugitive
Plath_The_Applicant.txt,The Applicant,Sylvia Plath,None,Confessional
Brooks_The_Ballad_of_Rudolph_Reed.txt,The Ballad of Rudolph Reed,Gwendolyn Brooks,None,Black Arts Movement
Berryman_The_Ball_Poem.txt,The Ball Poem,John Berryman,None,Confessional
Lowell_The_Broken_Fountain.txt,The Broken Fountain,Amy Lowell,None,Imagist
Frost_The_Census-Taker.txt,The Census-Taker,Robert Frost,None,Proto
Masters_The_Circuit_Judge.txt,The Circuit Judge,Edgar Lee Masters,None,Modern
Plath_The_Colossus.txt,The Colossus,Sylvia Plath,None,Confessional
Untermeyer_The_Dark_Chamber.txt,The Dark Chamber,Louis Untermeyer,None,Modern
Stevens_The_Death_of_a_Soldier.txt,The Death of a Soldier,Wallace Stevens,None,Modern
Jarell_The_Death_of_the_Ball_Turret_Gunner.txt,The Death of the Ball Turret Gunner,Randall Jarell,None,Fugitive
Frost_The_Death_of_the_Hired_Man.txt,The Death of the Hired Man,Robert Frost,None,Proto
Dunbar_The_Debt.txt,The Debt,Paul Laurence Dunbar,None,Harlem Renaissance
Tolson_The_Dictionary_of_the_Wolf.txt,The Dictionary of the Wolf,Melvin B. Tolson,None,Harlem Renaissance
Brautigan_The_Double-Bed_Dream_Gallows.txt,The Double-Bed Dream Gallows,Richard Brautigan,None,Beat
Lowell_The_Garden_by_Moonlight.txt,The Garden by Moonlight,Amy Lowell,None,Imagist
Frost_The_Gift_Outright.txt,The Gift Outright,Robert Frost,1941,Proto
Dunbar_The_Haunted_Oak.txt,The Haunted Oak,Paul Laurence Dunbar,1913,Harlem Renaissance
Wright_The_Healing_Improvisation_of_Hair.txt,The Healing Improvisation of Hair,Jay Wright,1997,Black Arts Movement
Robinson_The_House_on_the_Hill.txt,The House on the Hill,Edwin Arlington Robinson,1896,Proto
Mckay_The_Lynching.txt,The Lynching,Claude Mckay,1922,Harlem Renaissance
Lowell_The_Matrix.txt,The Matrix,Amy Lowell,1912,Imagist
Robinson_The_Mill.txt,The Mill,Edwin Arlington Robinson,1920,Proto
Brooks_the_mother.txt,the mother,Gwendolyn Brooks,1963,Black Arts Movement
Angelou_The_Mothering_Blackness.txt,The Mothering Blackness,Maya Angelou,1971,Black Arts Movement
Frost_The_Need_of_Being_Versed_in_Country_Things.txt,The Need of Being Versed in Country Things,Robert Frost,1923,Proto
Dunbar_The_Paradox.txt,The Paradox,Paul Laurence Dunbar,1899,Harlem Renaissance
Lowell_The_Pike.txt,The Pike,Amy Lowell,1914,Imagist
Lowell_The_Pond.txt,The Pond,Amy Lowell,1914,Imagist
Mckay_The_Snow_Fairy.txt,The Snow Fairy,Claude Mckay,1922,Harlem Renaissance
Stevens_The_Snow_Man.txt,The Snow Man,Wallace Stevens,1921,Modern
Berryman_The_Song_of_the_Demented_Priest.txt,The Song of the Demented Priest,John Berryman,None,Confessional
Lowell_The_Taxi.txt,The Taxi,Amy Lowell,1914,Imagist
Mckay_The_Tropics_in_New_York.txt,The Tropics in New York,Claude Mckay,1922,Harlem Renaissance
Dunbar_Thou_Art_My_Lute.txt,Thou Art My Lute,Paul Laurence Dunbar,1913,Harlem Renaissance
Mckay_To_One_Coming_North.txt,To One Coming North,Claude Mckay,1922,Harlem Renaissance
Plath_Tulips.txt,Tulips,Sylvia Plath,1960,Confessional
Robinson_Villanelle_of_Change.txt,Villanelle of Change,Edwin Arlington Robinson,1922,Proto
Rexroth_Vitamins_and_Roughage.txt,Vitamins and Roughage,Kenneth Rexroth,1966,Beat
Masters_Widow_McFarlane.txt,Widow McFarlane,Edgar Lee Masters,1915,Modern
Ransom_Winter_Remembered.txt,Winter Remembered,John Crowe Ransom,1969,Fugitive
Williams_Winter_Trees.txt,Winter Trees,William Carlos Williams,None,Imagist
Masters_Yee_Bow.txt,Yee Bow,Edgar Lee Masters,1916,Modern
Plath_You're.txt,You're,Sylvia Plath,1960,Confessional
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,